card_id,bank,name,annual_fee,joining_fee,fee_waiver_spend,lounge_domestic,lounge_intl,forex_markup_pct,min_income_annual,is_lifetime_free
hdfc_regalia_gold_credit_card,HDFC,HDFC Regalia Gold Credit Card,2500,2500,300000,12,0,2.0,1000000,0
hdfc_millennia_credit_card,HDFC,HDFC Millennia Credit Card,1000,1000,100000,4,0,3.5,350000,0
hdfc_moneyback_credit_card,HDFC,HDFC MoneyBack+ Credit Card,500,500,50000,0,0,3.5,200000,0
hdfc_diners_club_black_credit_card,HDFC,HDFC Diners Club Black Credit Card,10000,10000,500000,2000,0,2.0,2500000,0
hdfc_infinia_credit_card,HDFC,HDFC Infinia Credit Card,12500,12500,1000000,2000,4,2.0,3000000,0
hdfc_tata_neu_plus_credit_card,HDFC,HDFC TATA Neu Plus Credit Card,499,499,50000,0,0,3.5,200000,0
sbi_simplyclick_credit_card,SBI,SBI SimplyCLICK Credit Card,499,499,100000,0,0,3.5,200000,0
sbi_simplysave_credit_card,SBI,SBI SimplySAVE Credit Card,499,499,90000,0,0,3.5,200000,0
sbi_elite_credit_card,SBI,SBI Elite Credit Card,4999,4999,1000000,12,0,1.99,1200000,0
sbi_cashback_credit_card,SBI,SBI Cashback Credit Card,999,999,200000,0,0,3.5,300000,0
sbi_bpcl_octane_credit_card,SBI,SBI BPCL Octane Credit Card,1499,1499,150000,0,0,3.5,250000,0
axis_bank_magnus_credit_card,Axis,Axis Bank Magnus Credit Card,12500,12500,1500000,2000,0,2.0,1800000,0
axis_bank_ace_credit_card,Axis,Axis Bank Ace Credit Card,499,499,200000,4,0,3.5,250000,0
axis_bank_flipkart_credit_card,Axis,Axis Bank Flipkart Credit Card,500,500,200000,4,0,3.5,250000,0
axis_bank_vistara_signature_credit_card,Axis,Axis Bank Vistara Signature Credit Card,3000,3000,300000,8,0,3.5,800000,0
axis_bank_my_zone_credit_card,Axis,Axis Bank MY Zone Credit Card,500,500,50000,0,0,3.5,150000,0
amazon_pay_icici_credit_card,ICICI,Amazon Pay ICICI Credit Card,0,0,0,0,0,3.5,200000,1
icici_sapphiro_credit_card,ICICI,ICICI Sapphiro Credit Card,3500,3500,600000,12,0,1.5,1000000,0
icici_coral_credit_card,ICICI,ICICI Coral Credit Card,500,500,125000,2,0,3.5,250000,0
icici_rubyx_credit_card,ICICI,ICICI Rubyx Credit Card,2000,2000,300000,8,0,3.5,600000,0
icici_hpcl_super_saver_credit_card,ICICI,ICICI HPCL Super Saver Credit Card,500,500,150000,0,0,3.5,200000,0
american_express_platinum_card,Amex,American Express Platinum Card,60000,60000,0,2000,4,0.0,5000000,0
