card_id,category,rate_percent
amazon_pay_icici_credit_card,online,5.0
amazon_pay_icici_credit_card,other,1.0
american_express_gold_card,other,5.0
american_express_platinum_card,other,5.0
american_express_smartearn_credit_card,other,2.0
au_bank_altura_plus_credit_card,other,0.5
au_bank_eminence_credit_card,other,2.5
au_bank_lit_credit_card,other,2.0
au_bank_zenith_plus_credit_card,other,2.0
axis_bank_ace_credit_card,dining,4.0
axis_bank_ace_credit_card,other,2.0
axis_bank_airtel_credit_card,dining,10.0
axis_bank_airtel_credit_card,other,25.0
axis_bank_airtel_credit_card,utilities,25.0
axis_bank_atlas_credit_card,other,5.0
axis_bank_flipkart_credit_card,online,5.0
axis_bank_flipkart_credit_card,other,4.0
axis_bank_magnus_credit_card,other,12.0
axis_bank_my_zone_credit_card,dining,20.0
axis_bank_my_zone_credit_card,other,1.0
axis_bank_privilege_credit_card,other,2.0
axis_bank_reserve_credit_card,other,15.0
axis_bank_vistara_signature_credit_card,other,6.0
bajaj_finserv_rbl_bank_supercard,other,0.5
bank_of_baroda_eterna_credit_card,other,1.25
bank_of_baroda_prime_credit_card,other,0.5
bank_of_baroda_select_credit_card,other,0.5
canara_bank_rupay_platinum_credit_card,other,0.25
canara_bank_visa_gold_credit_card,other,0.25
citi_cashback_credit_card,other,0.5
citi_cashback_credit_card,utilities,5.0
citi_premiermiles_credit_card,other,10.0
citi_rewards_credit_card,other,2.4
federal_bank_celesta_credit_card,other,2.0
federal_bank_signet_credit_card,other,0.75
federal_bank_visa_rupay_credit_card,other,0.5
fi_money_federal_bank_credit_card,other,2.0
hdfc_bharat_credit_card,dining,25.0
hdfc_bharat_credit_card,fuel,25.0
hdfc_bharat_credit_card,grocery,25.0
hdfc_bharat_credit_card,other,5.0
hdfc_business_regalia_credit_card,other,1.333
hdfc_diners_club_black_credit_card,other,1.667
hdfc_freedom_credit_card,dining,5.0
hdfc_freedom_credit_card,grocery,5.0
hdfc_freedom_credit_card,other,1.0
hdfc_infinia_credit_card,other,3.333
hdfc_irctc_credit_card,other,0.25
hdfc_millennia_credit_card,dining,5.0
hdfc_millennia_credit_card,online,5.0
hdfc_millennia_credit_card,other,1.0
hdfc_moneyback_credit_card,dining,10.0
hdfc_moneyback_credit_card,grocery,10.0
hdfc_moneyback_credit_card,online,10.0
hdfc_moneyback_credit_card,other,0.267
hdfc_regalia_gold_credit_card,other,1.333
hdfc_swiggy_credit_card,dining,10.0
hdfc_swiggy_credit_card,grocery,10.0
hdfc_swiggy_credit_card,online,5.0
hdfc_swiggy_credit_card,other,1.0
hdfc_tata_neu_plus_credit_card,other,2.0
hsbc_premier_credit_card,other,1.2
hsbc_visa_platinum_credit_card,other,5.0
icici_bank_emeralde_private_metal_credit_card,other,1.5
icici_bank_makemytrip_signature_credit_card,dining,4.0
icici_bank_makemytrip_signature_credit_card,other,1.5
icici_bank_makemytrip_signature_credit_card,travel,8.0
icici_bank_platinum_credit_card,other,0.5
icici_coral_credit_card,other,0.5
icici_hpcl_super_saver_credit_card,fuel,4.0
icici_hpcl_super_saver_credit_card,grocery,2.0
icici_hpcl_super_saver_credit_card,other,1.0
icici_hpcl_super_saver_credit_card,utilities,2.0
icici_rubyx_credit_card,other,0.5
icici_sapphiro_credit_card,other,1.0
idbi_bank_euphoria_world_credit_card,other,0.5
idbi_bank_royale_signature_credit_card,other,0.5
idfc_first_bank_credit_card,other,3.0
idfc_first_bank_wealth_credit_card,other,36.0
idfc_first_millennia_credit_card,other,3.0
idfc_first_select_credit_card,other,36.0
indusind_bank_celesta_credit_card,other,1.0
indusind_bank_legend_credit_card,other,1.0
indusind_bank_nexxt_credit_card,other,0.8
indusind_bank_pinnacle_credit_card,other,4.0
indusind_bank_platinum_aura_edge_credit_card,other,1.5
indusind_eazydiner_credit_card,other,5.0
irctc_sbi_platinum_credit_card,other,0.2
kotak_811_dream_different_credit_card,online,1.0
kotak_811_dream_different_credit_card,other,1.0
kotak_league_platinum_credit_card,online,16.0
kotak_league_platinum_credit_card,other,4.0
kotak_pvr_platinum_credit_card,other,0.5
kotak_royale_signature_credit_card,other,0.5
kotak_white_reserve_credit_card,other,6.0
kotak_zen_signature_credit_card,other,0.5
kreditbee_bank_credit_card,other,1.0
onecard_credit_card,other,5.0
paytm_sbi_credit_card,online,2.0
paytm_sbi_credit_card,other,3.0
paytm_sbi_select_credit_card,online,2.0
paytm_sbi_select_credit_card,other,5.0
pnb_pride_rupay_select_credit_card,other,0.75
pnb_rupay_select_credit_card,other,0.5
rbl_bank_edition_credit_card,other,3.0
rbl_bank_monthly_treats_credit_card,grocery,4.0
rbl_bank_monthly_treats_credit_card,other,2.0
rbl_bank_shoprite_credit_card,grocery,25.0
rbl_bank_shoprite_credit_card,other,5.0
rbl_bank_titanium_delight_credit_card,grocery,25.0
rbl_bank_titanium_delight_credit_card,other,5.0
sbi_aurum_credit_card,other,50.0
sbi_bpcl_octane_credit_card,fuel,50.0
sbi_bpcl_octane_credit_card,other,3.0
sbi_card_pulse,other,5.0
sbi_cashback_credit_card,online,5.0
sbi_cashback_credit_card,other,1.0
sbi_elite_credit_card,dining,25.0
sbi_elite_credit_card,grocery,25.0
sbi_elite_credit_card,other,5.0
sbi_prime_credit_card,other,2.5
sbi_simplyclick_credit_card,online,25.0
sbi_simplyclick_credit_card,other,2.5
